date,source,frequency,expected_daily,crawl_status,candidates_seen,pages_fetched,article_count,unique_articles,duplicate_articles,usable_articles,usable_rate,incomplete_articles,short_articles,content_chars_min,content_chars_median,content_chars_max,previous_count,baseline_median_7d,ratio_to_baseline,zero_streak_days,anomaly_level,anomaly_codes,anomaly_reason,updated_at
2026-05-14,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,6249,6249,6249,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-14,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3378,3378,3378,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-14,pv magazine C&I PV,工作日,true,historical,,,1,1,0,0,0.0000,1,0,8203,8203,8203,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-15,Ammonia Energy Association,周度,false,historical,,,2,2,0,0,0.0000,2,0,3849,4994,6139,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-15,Battery Tech Online,低频,false,historical,,,1,1,0,0,0.0000,1,0,7431,7431,7431,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-15,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,382,382,382,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-15,pv magazine C&I PV,工作日,true,historical,,,2,2,0,0,0.0000,2,0,2648,3748,4848,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-16,Battery Tech Online,低频,false,historical,,,1,1,0,0,0.0000,1,0,6241,6241,6241,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-18,Supply Chain Digital,实时,true,historical,,,1,1,0,0,0.0000,1,0,4337,4337,4337,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-18,electrive,工作日,true,historical,,,2,2,0,0,0.0000,2,0,2057,2630,3204,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-18,pv magazine C&I PV,工作日,true,historical,,,3,3,0,0,0.0000,3,0,3671,3945,4104,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,Battery Tech Online,低频,false,historical,,,3,3,0,0,0.0000,3,0,7930,10101,13137,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,9606,9606,9606,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,Hydrogen Tech World,周度,false,historical,,,3,3,0,0,0.0000,3,3,107,114,126,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,Supply Chain Digital,实时,true,historical,,,3,3,0,0,0.0000,3,0,6675,7523,9628,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,382,382,382,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,pv magazine C&I PV,工作日,true,historical,,,2,2,0,0,0.0000,2,0,3124,4081,5038,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,Battery Tech Online,低频,false,historical,,,2,2,0,0,0.0000,2,0,6427,7441,8456,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,Hydrogen Tech World,周度,false,historical,,,3,3,0,0,0.0000,3,3,81,89,94,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,5122,5122,5122,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,Supply Chain Digital,实时,true,historical,,,5,5,0,0,0.0000,5,0,4060,4475,6254,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3551,3551,3551,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,pv magazine C&I PV,工作日,true,historical,,,3,3,0,0,0.0000,3,0,2481,2660,5976,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,Batteries International,实时（新闻资讯）+季度（新闻整合）,false,historical,,,10,10,0,0,0.0000,10,0,1356,2280,5721,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,Battery Tech Online,低频,false,historical,,,1,1,0,0,0.0000,1,0,9461,9461,9461,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,ESS News,工作日,true,historical,,,4,4,0,0,0.0000,4,0,2005,3532,6144,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,Hydrogen Tech World,周度,false,historical,,,2,2,0,0,0.0000,2,2,89,96,103,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,MIT Technology Review,实时,true,historical,,,2,2,0,0,0.0000,2,0,7710,7787,7865,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,5174,5174,5174,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,Supply Chain Digital,实时,true,historical,,,5,5,0,0,0.0000,5,0,4241,5679,9788,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,electrive,工作日,true,historical,,,2,2,0,0,0.0000,2,0,2976,4448,5920,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,pv magazine C&I PV,工作日,true,historical,,,4,4,0,0,0.0000,4,0,3221,9058,16614,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-21,the information,实时,true,historical,,,1,1,0,0,0.0000,1,0,4936,4936,4936,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,Ammonia Energy Association,周度,false,historical,,,1,1,0,0,0.0000,1,0,4707,4707,4707,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,Battery Tech Online,低频,false,historical,,,1,1,0,0,0.0000,1,0,11514,11514,11514,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,ESS News,工作日,true,historical,,,3,3,0,0,0.0000,3,0,1888,1934,2846,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,Informationsdienst Wissenschaft-idw,工作日,true,historical,,,3,3,0,0,0.0000,3,0,2499,4962,8118,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,MIT Technology Review,实时,true,historical,,,5,5,0,0,0.0000,5,0,2167,7897,9230,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,Supply Chain Digital,实时,true,historical,,,3,3,0,0,0.0000,3,0,3438,3701,4217,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,6999,6999,6999,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,pv magazine C&I PV,工作日,true,historical,,,2,2,0,0,0.0000,2,0,4181,4303,4425,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-22,the information,实时,true,historical,,,4,4,0,0,0.0000,4,4,104,126,159,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-23,Battery Tech Online,低频,false,historical,,,3,3,0,0,0.0000,3,0,7991,9697,11253,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-23,Electrek,实时,true,historical,,,6,6,0,0,0.0000,6,0,3715,4951,5417,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-23,Supply Chain Digital,实时,true,historical,,,2,2,0,0,0.0000,2,0,4001,4702,5404,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-23,pv magazine C&I PV,工作日,false,historical,,,1,1,0,0,0.0000,1,0,2644,2644,2644,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-23,the information,实时,true,historical,,,8,8,0,0,0.0000,8,8,65,137,218,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-24,Electrek,实时,true,historical,,,3,3,0,0,0.0000,3,0,6337,6355,7268,,,,,,,,2026-08-07T10:06:41.148574+08:00
