source,frequency,last_target_date,last_status,previous_status,last_attempt_at,last_success_at,last_success_date,consecutive_unhealthy,open_incidents,next_action,last_error_type,last_error,crawl_mode,candidates_seen,pages_fetched,new_articles,refreshed_articles,usable_articles,incomplete_articles,short_articles,min_content_chars,content_chars_min,content_chars_median,content_chars_max,updated_at
电池网,实时,2026-08-27,healthy,zero,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,24,repair_then_confirm,,,listing,30,11,1,0,1,0,0,500,526,526,526,2026-08-28T14:45:21.458668+08:00
科学网新闻,实时,2026-08-27,idle,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,2,repair_then_reconfirm,,all observed candidates were published outside the target date (2026-08-28),rss,20,0,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
索比光伏,工作日,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,3,repair_then_reconfirm,,,listing,15,4,4,0,4,0,2,500,304,607,1115,2026-08-28T14:45:21.458668+08:00
索比光伏-综合新闻,工作日,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,,listing,100,8,7,0,7,0,3,500,335,616,3746,2026-08-28T14:45:21.458668+08:00
网易知光谷,低频,2026-08-27,idle,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,all observed candidates were published outside the target date (2026-06-05 to 2026-06-08),listing,20,10,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
能源学人,实时,2026-08-27,skipped,skipped,2026-08-28T14:45:18.986817+08:00,,,0,0,none,,备注包含“公众号”,,0,0,0,0,0,0,0,0,0,0,0,2026-08-28T14:45:21.458668+08:00
起点钠电,实时,2026-08-27,skipped,skipped,2026-08-28T14:45:18.986817+08:00,,,0,0,none,,备注包含“公众号”,,0,0,0,0,0,0,0,0,0,0,0,2026-08-28T14:45:21.458668+08:00
钙钛矿学习xx平台,实时,2026-08-27,skipped,skipped,2026-08-28T14:45:18.986817+08:00,,,0,0,none,,备注包含“公众号”,,0,0,0,0,0,0,0,0,0,0,0,2026-08-28T14:45:21.458668+08:00
钙钛矿工厂,实时,2026-08-27,skipped,skipped,2026-08-28T14:45:18.986817+08:00,,,0,0,none,,备注包含“公众号”,,0,0,0,0,0,0,0,0,0,0,0,2026-08-28T14:45:21.458668+08:00
风电世界,实时,2026-08-27,skipped,skipped,2026-08-28T14:45:18.986817+08:00,,,0,0,none,,链接为空,,0,0,0,0,0,0,0,0,0,0,0,2026-08-28T14:45:21.458668+08:00
